source,target,value
Woodards,Brunswick,1210000
Jellis,Brunswick,400000
Jellis,Brunswick,950000
Marshall,Armadale,735000
Nelson,Brunswick,845500
Jellis,Brunswick,605000
Walshe,Brunswick,445000
Nelson,Abbotsford,1240000
Raine,Airport West,790000
Greg,Altona,940000
Nelson,Ascot Vale,950000
FN,Bacchus Marsh,412000
Noel,Balwyn North,3870000
William,Bellfield,795000
Buxton,Bentleigh,1210000
Buxton,Bentleigh,1600000
hockingstuart,Bentleigh East,1050000
LJ,Boronia,720500
RW,Broadmeadows,642500
Stockdale,Broadmeadows,770000
Jellis,Brunswick East,1200000
Barry,Bundoora,770000
Ray,Bundoora,438000
Buxton,Camberwell,2235000
Fletchers,Camberwell,1870000
Buxton,Chadstone,882000
O'Brien,Cheltenham,975000
Ray,Cheltenham,990000
Win,Chirnside Park,765000
Barry,Clayton South,785000
Ray,Clayton South,877500
Fletchers,Clayton South,955000
Barry,Coburg,730000
Barry,Coburg North,825000
LJ,Craigieburn,625000
Ray,Craigieburn,520000
Barry,Craigieburn,530000
LJ,Craigieburn,590000
Raine,Craigieburn,715000
hockingstuart,Croydon,1000000
Barry,Dallas,600000
LJH,Dandenong,570000
C21,Dandenong,645000
Buxton,Dingley Village,927000
Barry,Donvale,969000
Barry,Donvale,1025000
Barry,Edithvale,715000
Fletchers,Eltham,1560000
Buckingham,Eltham,960000
Nelson,Eltham,860000
Ristic,Epping,570000
Melbourne,Epping,766000
Iconek,Epping,630000
Appleby,Ferntree Gully,860000
hockingstuart,Ferntree Gully,735000
Collins,Fitzroy North,920000
O'Brien,Frankston South,563000
Raine,Gisborne,515000
Ray,Glen Waverley,1100000
Harcourts,Glen Waverley,1075000
RW,Glenroy,780000
Barry,Glenroy,1200000
Nelson,Gowanbrae,900000
Buckingham,Greensborough,717500
Stockdale,Greenvale,805000
O'Brien,Hallam,645000
Marshall,Hawthorn East,1055000
Nelson,Heidelberg Heights,760000
Barry,Keilor East,1150000
Barry,Keysborough,800000
Fletchers,Kilsyth,657000
Harcourts,Knoxfield,795000
Raine,Lalor,779000
Morrison,Lower Plenty,2287500
YPA,Meadow Heights,525000
PRDNationwide,Melton,395000
Ryder,Melton South,407000
Barry,Mentone,1150000
The,Mill Park,668000
Barry,Montmorency,850000
Prof.,Mount Evelyn,655000
Buxton,Mount Waverley,1470000
Williams,Newport,736500
Williams,Newport,1040000
Sweeney,Newport,980000
Williams,Newport,1570000
Williams,Newport,1300000
Barry,Niddrie,1410000
Fletchers,Nunawading,1056000
Woodards,Oakleigh South,1000000
Buxton,Oakleigh South,813500
Buxton,Parkdale,1365000
LJ,Point Cook,500500
hockingstuart,Point Cook,1060000
LJ,Point Cook,940000
Nelson,Preston,1331000
Barry,Reservoir,825000
Nelson,Reservoir,945000
Jellis,Richmond,1055000
Marshall,Richmond,850000
Jellis,Ringwood North,942000
YPA,Roxburgh Park,600000
Jason,Roxburgh Park,688500
LJ,Seabrook,570000
O'Brien,Seaford,790000
Thomson,Seddon,817000
HAR,South Morang,621000
Brad,Sunbury,677000
Purplebricks,Sunshine West,700000
S&L,Sunshine West,702500
RT,Surrey Hills,1901000
YPA,Taylors Hill,490000
Barry,Taylors Hill,690000
O'Brien,Taylors Hill,695000
Nelson,Thornbury,1500000
hockingstuart,Truganina,667000
Barry,Wantirna,1065800
Ray,Watsonia,1035000
Barry,Watsonia North,806000
Ray,Werribee,550000
Greg,Williamstown,1760000
hockingstuart,Wollert,478000
hockingstuart,Wyndham Vale,457000
hockingstuart,Yarraville,1561000
Walshe,Brunswick,659500
Nelson,Brunswick,600000
hockingstuart,Armadale,480000
Nelson,Brunswick,528000
Caine,Brunswick,1115000
Ray,Brunswick,320000
Jellis,Brunswick,1260000
Woodards,Brunswick,1210000
Nelson,Airport West,670000
Harcourts,Avondale Heights,720000
Nelson,Avondale Heights,1107500
Ray,Bayswater,520000
Hodges,Bentleigh,380000
Peake,Berwick,920000
Eview,Berwick,950000
Barry,Blackburn,485000
Barry,Blackburn South,1291000
Ray,Boronia,775000
Philip,Boronia,820000
Douglas,Braybrook,797000
hockingstuart,Braybrook,590000
Buxton,Brighton East,585000
Jellis,Brighton East,1580000
hockingstuart,Broadmeadows,386000
hockingstuart,Brooklyn,515000
Jellis,Brunswick,1515000
Nelson,Brunswick,1037000
Woodards,Brunswick East,1330000
Jellis,Brunswick East,937000
Dingle,Brunswick East,290000
Barry,Bundoora,730000
Buckingham,Bundoora,660000
Ray,Burwood East,1150000
Fletchers,Burwood East,1600000
hockingstuart,Camberwell,755000
